Tweets,Likes,Adj Close,Close,High,Low,Open,Volume,Prices,Comp,Negative,Neutral,Positive
"Gw gacha dia karna seiyuu. Awalnya GK tertarik samsek ma dia. Pas gw liat bentukannya ""Walah tipe2 char cowo edgy + emo yg akan digemari para player cewe""

Sampai kemudian gw pertama kali denger suara dia waktu ngomong ke Jingyuan. Gw langsung suka ma dia 

""MIKI SHINICHIRO COG"" https://t.co/BssZE6z0fL",0,371.7659606933594,375.0,375.19000244140625,369.69000244140625,371.45001220703125,2124800,0,0.0,0.0,1.0,0.0
"ITZ 2024 PIX Update https://t.co/0V56Igj0yS
#AMZN #CRWD #GLD #IJR #MA",1,372.0038757324219,375.239990234375,377.42999267578125,373.260009765625,375.7200012207031,3537800,1,0.0,0.0,1.0,0.0
"Kurr hiq ne jete xuxi ma shume vota se Gjesti , fuck this shit #bbvipks3",2,371.498291015625,374.7300109863281,377.6400146484375,373.6199951171875,375.1499938964844,1886300,2,-0.8294,0.392,0.608,0.0
"L'uomo che sussurra ai #colpodistato, ma ha paura di due domande #marcorizzo
😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/CiNSx0NtYi",2,365.35174560546875,368.5299987792969,374.5799865722656,368.32000732421875,373.5,2245000,2,0.34,0.0,0.844,0.156
MA SŒUR A 20 ANS C TERRIBLE,1,363.5970153808594,366.760009765625,372.2200012207031,366.0899963378906,369.6400146484375,2594200,1,-0.5904,0.489,0.511,0.0
MA=WA,0,370.4474182128906,373.6700134277344,374.9800109863281,361.0,366.5799865722656,3859900,0,0.0,0.0,1.0,0.0
Ma belle supprimes ! https://t.co/o3yLhYbIWY,0,376.7525634765625,380.0299987792969,381.92999267578125,371.510009765625,372.5299987792969,3107300,0,0.0,0.0,1.0,0.0
Ma boyyssss https://t.co/tz95WBtstS,0,376.5840148925781,379.8599853515625,382.4599914550781,378.9599914550781,380.489990234375,1745100,0,0.0,0.0,1.0,0.0
Ma cousine 🤩😍 https://t.co/TFdLHdJTSu https://t.co/4vH465ykBE,2,372.78704833984375,376.0299987792969,378.8399963378906,370.94000244140625,377.7699890136719,2478700,2,0.0,0.0,1.0,0.0
Ma meuf quand elle c'est réveillé avec un #Bitcoin à 100 000$ 🤣🤣🤣 https://t.co/fvz8SSiWH7,0,371.6668395996094,374.8999938964844,379.54998779296875,374.3299865722656,376.6700134277344,1970900,0,0.0,0.0,1.0,0.0
Ma quindi ora Gue sa fare i selfie?,1,372.87628173828125,376.1199951171875,376.8500061035156,372.1400146484375,374.5,2814900,1,0.0,0.0,1.0,0.0
"Ma shqetsun pak xheneten, produksion muti #bbvipks3 https://t.co/BRfOLjG170",17,381.3426513671875,384.6600036621094,385.1499938964844,378.239990234375,380.57000732421875,2682800,17,0.0,0.0,1.0,0.0
Ma vidéo purée https://t.co/UghSpXtc7p,0,382.1853332519531,385.510009765625,387.4599914550781,383.7699890136719,384.010009765625,1719600,0,0.0,0.0,1.0,0.0
"O Arion dil ma mir
Merre edhe Drilonin pash Zotin se fort jon te shfrytzuu 
T lutna #bbvipks3",11,379.6374816894531,382.94000244140625,386.1700134277344,382.70001220703125,383.8800048828125,2036400,11,0.0,0.0,1.0,0.0
"Pinni:Madyarathiri 2:30ki neeku ma bedroom deggara emPani ra?
Son:Waterkosam ochhanu pinni
Pinni:Naku telidu anukoku Roju nannu meebabai ee timeki juttupattukoni doggystylelo padesi dengutavunte nuvvu ahbokkalo nunchichusi kottukuntuvuntav
Babai:(Oh Lanja munda lopaliki raave) https://t.co/vxpwVT7MH1",28,379.240966796875,382.5400085449219,386.760009765625,377.6499938964844,385.989990234375,1940800,28,0.0,0.0,1.0,0.0
"Un jour faudra que je parle du stress et du bruxisme.. 1 an que g ma gouttière et RAS.. flinguée en 4 jours.... 🥶🥶🥶 parfois jme diq que jmords plus fort que mes chiens (véridique, y'en a déja une qui a joué avec)",1,380.0836181640625,383.3900146484375,385.7200012207031,379.260009765625,382.2099914550781,1901200,1,-0.4215,0.07,0.93,0.0
Un jour je raconterai comment on s’est retrouvé à Skid Row avec Naomi à cause de ma tante,0,378.6263122558594,381.9200134277344,385.0199890136719,378.79998779296875,384.489990234375,2044000,0,0.0,0.0,1.0,0.0
"Your welcome ma'am, I'm so glad my song brings happiness, I appreciate your likes and comments message me privately on telegram https://t.co/YXGeoFmfel https://t.co/gC7J3GQHaE",0,380.1034240722656,383.4100036621094,383.6600036621094,380.5299987792969,381.8699951171875,1957400,0,0.9429,0.0,0.516,0.484
[FR/EN] Champion 900SR+ / Let's play some ranked ma boiiii https://t.co/KbeQOSUJ62,1,376.9607849121094,380.239990234375,383.6000061035156,377.32000732421875,382.6000061035156,2762700,1,0.743,0.0,0.559,0.441
"bingo!  it  gives  you  something  to  do,  doesn't  it?  what  else  do  you  do  otherwise?  say  ‘  yes  ma'am,  no  ma'am  ’  and  play  good  boy? https://t.co/Wdj9u18fVR",0,383.6624450683594,387.0,387.5199890136719,379.1300048828125,382.20001220703125,3260300,0,0.7672,0.069,0.656,0.276
ma oggi non mi funziona ig,0,388.63916015625,392.0199890136719,392.0199890136719,385.80999755859375,387.1099853515625,3729500,0,0.0,0.0,1.0,0.0
"ma stiamo scherzando vero? io ero come una cogliona a guardare quei due che a poco scopavano sul tavolo da biliardo, io non so più cosa fare",0,382.24481201171875,385.57000732421875,392.20001220703125,385.1400146484375,392.0,3368800,0,0.0,0.0,1.0,0.0
sana ma approve na :((,0,381.2137756347656,384.5299987792969,387.3699951171875,384.17999267578125,384.989990234375,1808800,0,0.0,0.0,1.0,0.0
"تابعهم ياتبعوكم 
ريتويت للدعم 
😍😍😍😍
@gumterver100
@ZyrwT28134
@shahnawaz_2182
@1___A_1 
@_Solav_
@rshrooshh
@glmsjd
@nt41000
@AhmedAb84271008
@shadoshamy
@kp13s
@haAl55342
@smy58881
@gzl623463751501
@ma_haq8
@AliAli711z
@FayzQrysh57883
@MYK_63
@Hannibal1998X
#هلا_هلا 
#هلا",64,370.52679443359375,373.75,382.0299987792969,370.44000244140625,381.5199890136719,3979000,64,0.0,0.0,1.0,0.0
"✓ mais um artigo publicado no Estadão 
Litigância de má-fé, a degradação da Justiça https://t.co/pN1T0iD0NJ",0,365.322021484375,368.5,369.6099853515625,365.5799865722656,369.3699951171875,2655700,0,-0.296,0.155,0.845,0.0
